Season,HarvestDate,NoOfBins,cumBins,PlotDate
2022,2022-02-15,54,54,2024-02-15
2022,2022-02-16,92,146,2024-02-16
2022,2022-02-17,64,210,2024-02-17
2022,2022-02-18,98,308,2024-02-18
2022,2022-02-19,20,328,2024-02-19
2022,2022-02-21,110,438,2024-02-21
2022,2022-02-22,125,563,2024-02-22
2022,2022-02-23,86,649,2024-02-23
2022,2022-02-24,146,795,2024-02-24
2022,2022-02-25,276,1071,2024-02-25
2022,2022-02-26,233,1304,2024-02-26
2022,2022-02-28,404,1708,2024-02-28
2022,2022-03-01,565,2273,2024-03-01
2022,2022-03-02,616,2889,2024-03-02
2022,2022-03-03,672,3561,2024-03-03
2022,2022-03-04,695,4256,2024-03-04
2022,2022-03-05,731,4987,2024-03-05
2022,2022-03-06,309,5296,2024-03-06
2022,2022-03-07,676,5972,2024-03-07
2022,2022-03-08,930,6902,2024-03-08
2022,2022-03-09,1049,7951,2024-03-09
2022,2022-03-10,843,8794,2024-03-10
2022,2022-03-11,1041,9835,2024-03-11
2022,2022-03-12,552,10387,2024-03-12
2022,2022-03-13,696,11083,2024-03-13
2022,2022-03-14,880,11963,2024-03-14
2022,2022-03-15,427,12390,2024-03-15
2022,2022-03-16,803,13193,2024-03-16
2022,2022-03-17,822,14015,2024-03-17
2022,2022-03-18,821,14836,2024-03-18
2022,2022-03-19,613,15449,2024-03-19
2022,2022-03-20,393,15842,2024-03-20
2022,2022-03-21,362,16204,2024-03-21
2022,2022-03-22,824,17028,2024-03-22
2022,2022-03-23,105,17133,2024-03-23
2022,2022-03-24,465,17598,2024-03-24
2022,2022-03-25,366,17964,2024-03-25
2022,2022-03-26,756,18720,2024-03-26
2022,2022-03-27,668,19388,2024-03-27
2022,2022-03-28,918,20306,2024-03-28
2022,2022-03-29,559,20865,2024-03-29
2022,2022-03-30,553,21418,2024-03-30
2022,2022-03-31,533,21951,2024-03-31
2022,2022-04-01,372,22323,2024-04-01
2022,2022-04-02,239,22562,2024-04-02
2022,2022-04-03,36,22598,2024-04-03
2022,2022-04-04,261,22859,2024-04-04
2022,2022-04-05,138,22997,2024-04-05
2022,2022-04-06,208,23205,2024-04-06
2023,2023-02-10,201,201,2024-02-10
2023,2023-02-11,142,343,2024-02-11
2023,2023-02-12,71,414,2024-02-12
2023,2023-02-18,95,509,2024-02-18
2023,2023-02-19,102,611,2024-02-19
2023,2023-02-20,147,758,2024-02-20
2023,2023-02-21,326,1084,2024-02-21
2023,2023-02-22,683,1767,2024-02-22
2023,2023-02-23,540,2307,2024-02-23
2023,2023-02-24,326,2633,2024-02-24
2023,2023-02-25,131,2764,2024-02-25
2023,2023-02-26,895,3659,2024-02-26
2023,2023-02-27,601,4260,2024-02-27
2023,2023-02-28,39,4299,2024-02-28
2023,2023-03-01,897,5196,2024-03-01
2023,2023-03-02,939,6135,2024-03-02
2023,2023-03-03,954,7089,2024-03-03
2023,2023-03-04,760,7849,2024-03-04
2023,2023-03-05,423,8272,2024-03-05
2023,2023-03-06,781,9053,2024-03-06
2023,2023-03-07,1017,10070,2024-03-07
2023,2023-03-08,1074,11144,2024-03-08
